3-d;"etando mísátoabbreviation"
compound;"biténibiténi"
compress;"kominiola"
compressed;"ekówamí"
compression;"bominioli,"
compute;"koyíkina"
computer;"kompitá, odinatɛ̀lɛ"
computing;""
concatenate;""
concatenation;""
concave;""
concordance;""
concordant file;""
concurrent;""
condense;"kokatá bokúsé"
condensed spacing;""
condensed;"ekatání bokúsé"
condition;"ezalela"
conditional formatting;""
conduit;""
conference call;"likita na singa"
conference;"likita"
confidential;"ya bonkútu"
confidentiality;"bonkútu"
configurable;"ya kobɔngela"
configuration editor;""
configuration file;"kásá ya libɔngele"
configuration files;""
configuration;"libɔngele"
configure the application;""
configure;"kobɔngela"
configured;"ebɔngelámí"
configuring;"kobɔngela"
confirm;"kokótisa"
confirmation;"Bokótisi"
confirmed;"endímámí"
conflict;"tumbó"
connect to server;""
connect;"kokangisa"
connected;"ya kokɔnɛkitɛ, ezalí kokɔnɛkitɛ"
connecting;"kokɔnɛkitɛ"
connection failure;"éshɛ́ki ya kɔnɛkiso"
connection information;""
connection pools;""
connection refused;"kɔnɛkiso eboyámí"
connection timed out;"ntángo ya kɔnɛkiso esíli"
connection;"kɔnɛkiso"
connector;""
consecutive numbering;""
consent;""
console;"konsolɛ"
consolidate;""
constant;""
constrain proportion;""
constraint;""
consult;"kotála elɔ́kɔ"
contact (noun);""
contact (verb);""
contact information;"liyébísí ya kontákiti"
contact;"kolobana"
contain;"kokwa"
contained in;"káti na,ya kokwa na"
container;""
content type;"típɛ ya kɔténi"
content;"kɔténicontext menu"
contents;""
context menu;""
context;""
continue search backward;""
continue search forward;""
continue;"kokóba"
continued;"ya kokóba"
continuous;"sé kokóba"
continuously;"mbala na mbala"
contour;"mpɛ́mbɛ́ni"
contract;"kɔtra"
contrast;"bolimi"
contribution;"likaboconversation"
contributor;"mɔ̂kɔ́ wa basáli"
control center;""
control key /  ctrl;"túsi kɔtrɔlɛ"
control panel;"panó ya kɔtrɔlɛ"
control;"kɔtrɔlɛ"
controller;""
convene;""
convention;""
converge;""
conversation;""
conversion;"bopasi, bopasani"
convert to task;""
convert;"kopasa"
converted;"epásání, yo kopasa"
converter;"epasele"
converting;"kopasa"
cookie;"kuki"
cookies;""
cool (smiley);""
cooperative;""
coordinate;""
copies;""
copy (noun);""
copy (verb);""
copy all contact to;""
copy cds and dvds;""
copy contact to;""
copy folder to...;""
copy left;""
copy right;""
copy the selection;""
copy to folder;""
copy;"liákisi, kopí"
copying file;""
copying files;""
copyright year;""
copyright;"kopíraíti"
corba;""
core file;""
corner radius;""
corner to frame;""
corner;"litúnu"
correct;"malámu"
correction;"bobéboli"
correlation;""
correspondence;"minkánda"
correspondent;""
corrupt;"kobébisa"
corrupted file;""
corrupted;"ebébí, ebébísámí"
cos;""
cost;"kokwa motúya"
couldn't save;""
count;"kotánga"
countable;""
counter variable;""
